rank,full_name,html_url,clone_url,default_branch,stars,forks,open_issues,pushed_at,license,category,description
"1","zxing/zxing","https://github.com/zxing/zxing","https://github.com/zxing/zxing.git","","33972","","","2026-06-08T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"2","chinabugotech/hutool","https://github.com/chinabugotech/hutool","https://github.com/chinabugotech/hutool.git","","30282","","","2026-06-06T00:00:00Z","MulanPSL-2.0","Util/Infra","Util/Infra"
"3","OpenAPITools/openapi-generator","https://github.com/OpenAPITools/openapi-generator","https://github.com/OpenAPITools/openapi-generator.git","","26374","","","2026-06-10T00:00:00Z","Apache-2.0","Codegen/Build","Codegen/Build"
"4","Netflix/Hystrix","https://github.com/Netflix/Hystrix","https://github.com/Netflix/Hystrix.git","","24455","","","2025-12-17T00:00:00Z","","HTTP/Client","HTTP/Client"
"5","google/gson","https://github.com/google/gson","https://github.com/google/gson.git","","24203","","","2026-06-04T00:00:00Z","Apache-2.0","Serialization","Serialization"
"6","alibaba/Sentinel","https://github.com/alibaba/Sentinel","https://github.com/alibaba/Sentinel.git","","23122","","","2026-05-27T00:00:00Z","Apache-2.0","Security/Auth","Security/Auth"
"7","lionsoul2014/ip2region","https://github.com/lionsoul2014/ip2region","https://github.com/lionsoul2014/ip2region.git","","19127","","","2026-06-09T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"8","antlr/antlr4","https://github.com/antlr/antlr4","https://github.com/antlr/antlr4.git","","18904","","","2026-02-16T00:00:00Z","BSD-3-Clause","Parser/Format","Parser/Format"
"9","dromara/Sa-Token","https://github.com/dromara/Sa-Token","https://github.com/dromara/Sa-Token.git","","18882","","","2026-06-07T00:00:00Z","Apache-2.0","Security/Auth","Security/Auth"
"10","LMAX-Exchange/disruptor","https://github.com/LMAX-Exchange/disruptor","https://github.com/LMAX-Exchange/disruptor.git","","18367","","","2025-04-02T00:00:00Z","Apache-2.0","Util/Infra","Util/Infra"
"11","ben-manes/caffeine","https://github.com/ben-manes/caffeine","https://github.com/ben-manes/caffeine.git","","17698","","","2026-06-09T00:00:00Z","Apache-2.0","Util/Infra","Util/Infra"
"12","infinilabs/analysis-ik","https://github.com/infinilabs/analysis-ik","https://github.com/infinilabs/analysis-ik.git","","17460","","","2026-05-11T00:00:00Z","Apache-2.0","Template/Text","Template/Text"
"13","justauth/JustAuth","https://github.com/justauth/JustAuth","https://github.com/justauth/JustAuth.git","","17459","","","2026-04-16T00:00:00Z","MIT","Security/Auth","Security/Auth"
"14","baomidou/mybatis-plus","https://github.com/baomidou/mybatis-plus","https://github.com/baomidou/mybatis-plus.git","","17390","","","2026-06-03T00:00:00Z","Apache-2.0","Data/DB-client","Data/DB-client"
"15","languagetool-org/languagetool","https://github.com/languagetool-org/languagetool","https://github.com/languagetool-org/languagetool.git","","14563","","","2026-06-09T00:00:00Z","LGPL-2.1","Template/Text","Template/Text"
"16","GoogleContainerTools/jib","https://github.com/GoogleContainerTools/jib","https://github.com/GoogleContainerTools/jib.git","","14406","","","2026-05-19T00:00:00Z","Apache-2.0","Codegen/Build","Codegen/Build"
"17","Netflix/zuul","https://github.com/Netflix/zuul","https://github.com/Netflix/zuul.git","","14021","","","2026-06-09T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"18","plantuml/plantuml","https://github.com/plantuml/plantuml","https://github.com/plantuml/plantuml.git","","13079","","","2026-06-09T00:00:00Z","NOASSERTION","Parser/Format","Parser/Format"
"19","google/guice","https://github.com/google/guice","https://github.com/google/guice.git","","12734","","","2026-05-21T00:00:00Z","Apache-2.0","Util/Infra","Util/Infra"
"20","Netflix/eureka","https://github.com/Netflix/eureka","https://github.com/Netflix/eureka.git","","12710","","","2026-03-23T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"21","pagehelper-org/Mybatis-PageHelper","https://github.com/pagehelper-org/Mybatis-PageHelper","https://github.com/pagehelper-org/Mybatis-PageHelper.git","","12356","","","2026-03-28T00:00:00Z","MIT","Data/DB-client","Data/DB-client"
"22","redis/jedis","https://github.com/redis/jedis","https://github.com/redis/jedis.git","","12330","","","2026-06-10T00:00:00Z","MIT","Data/DB-client","Data/DB-client"
"23","langchain4j/langchain4j","https://github.com/langchain4j/langchain4j","https://github.com/langchain4j/langchain4j.git","","12270","","","2026-06-09T00:00:00Z","Apache-2.0","Util/Infra","Util/Infra"
"24","apple/pkl","https://github.com/apple/pkl","https://github.com/apple/pkl.git","","11395","","","2026-06-09T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"25","jhy/jsoup","https://github.com/jhy/jsoup","https://github.com/jhy/jsoup.git","","11366","","","2026-06-04T00:00:00Z","MIT","Parser/Format","Parser/Format"
"26","jwtk/jjwt","https://github.com/jwtk/jjwt","https://github.com/jwtk/jjwt.git","","11078","","","2026-06-10T00:00:00Z","Apache-2.0","Security/Auth","Security/Auth"
"27","stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP.git","","10083","","","2026-06-03T00:00:00Z","GPL-3.0","Template/Text","Template/Text"
"28","OpenFeign/feign","https://github.com/OpenFeign/feign","https://github.com/OpenFeign/feign.git","","9782","","","2026-06-09T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"29","json-path/JsonPath","https://github.com/json-path/JsonPath","https://github.com/json-path/JsonPath.git","","9413","","","2026-02-22T00:00:00Z","Apache-2.0","Serialization","Serialization"
"30","koush/AndroidAsync","https://github.com/koush/AndroidAsync","https://github.com/koush/AndroidAsync.git","","7539","","","2022-11-23T00:00:00Z","NOASSERTION","HTTP/Client","HTTP/Client"
"31","wiremock/wiremock","https://github.com/wiremock/wiremock","https://github.com/wiremock/wiremock.git","","7272","","","2026-06-09T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"32","rest-assured/rest-assured","https://github.com/rest-assured/rest-assured","https://github.com/rest-assured/rest-assured.git","","7126","","","2026-02-04T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"33","AsyncHttpClient/async-http-client","https://github.com/AsyncHttpClient/async-http-client","https://github.com/AsyncHttpClient/async-http-client.git","","6393","","","2026-06-08T00:00:00Z","NOASSERTION","HTTP/Client","HTTP/Client"
"34","joelittlejohn/jsonschema2pojo","https://github.com/joelittlejohn/jsonschema2pojo","https://github.com/joelittlejohn/jsonschema2pojo.git","","6377","","","2026-05-02T00:00:00Z","Apache-2.0","Serialization","Serialization"
"35","apache/camel","https://github.com/apache/camel","https://github.com/apache/camel.git","","6225","","","2026-06-09T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"36","auth0/java-jwt","https://github.com/auth0/java-jwt","https://github.com/auth0/java-jwt.git","","6225","","","2026-06-08T00:00:00Z","MIT","Security/Auth","Security/Auth"
"37","javaparser/javaparser","https://github.com/javaparser/javaparser","https://github.com/javaparser/javaparser.git","","6104","","","2026-06-08T00:00:00Z","NOASSERTION","Parser/Format","Parser/Format"
"38","apache/fesod","https://github.com/apache/fesod","https://github.com/apache/fesod.git","","6050","","","2026-06-08T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"39","JSQLParser/JSqlParser","https://github.com/JSQLParser/JSqlParser","https://github.com/JSQLParser/JSqlParser.git","","5944","","","2026-04-12T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"40","remkop/picocli","https://github.com/remkop/picocli","https://github.com/remkop/picocli.git","","5379","","","2026-05-10T00:00:00Z","Apache-2.0","CLI/Config","CLI/Config"
"41","mock-server/mockserver-monorepo","https://github.com/mock-server/mockserver-monorepo","https://github.com/mock-server/mockserver-monorepo.git","","4885","","","2026-06-10T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"42","stleary/JSON-java","https://github.com/stleary/JSON-java","https://github.com/stleary/JSON-java.git","","4714","","","2026-06-01T00:00:00Z","NOASSERTION","Serialization","Serialization"
"43","zendesk/maxwell","https://github.com/zendesk/maxwell","https://github.com/zendesk/maxwell.git","","4253","","","2026-05-23T00:00:00Z","NOASSERTION","Data/DB-client","Data/DB-client"
"44","Mojang/brigadier","https://github.com/Mojang/brigadier","https://github.com/Mojang/brigadier.git","","3688","","","2024-08-15T00:00:00Z","MIT","Parser/Format","Parser/Format"
"45","bluelinelabs/LoganSquare","https://github.com/bluelinelabs/LoganSquare","https://github.com/bluelinelabs/LoganSquare.git","","3179","","","2021-12-07T00:00:00Z","Apache-2.0","Serialization","Serialization"
"46","thymeleaf/thymeleaf","https://github.com/thymeleaf/thymeleaf","https://github.com/thymeleaf/thymeleaf.git","","2966","","","2026-06-07T00:00:00Z","Apache-2.0","Template/Text","Template/Text"
"47","sannies/mp4parser","https://github.com/sannies/mp4parser","https://github.com/sannies/mp4parser.git","","2798","","","2024-08-15T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"48","reactor/reactor-netty","https://github.com/reactor/reactor-netty","https://github.com/reactor/reactor-netty.git","","2768","","","2026-06-10T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"49","manifold-systems/manifold","https://github.com/manifold-systems/manifold","https://github.com/manifold-systems/manifold.git","","2746","","","2026-05-24T00:00:00Z","Apache-2.0","Codegen/Build","Codegen/Build"
"50","Kong/unirest-java","https://github.com/Kong/unirest-java","https://github.com/Kong/unirest-java.git","","2698","","","2026-05-11T00:00:00Z","MIT","HTTP/Client","HTTP/Client"
"51","vladmihalcea/hypersistence-utils","https://github.com/vladmihalcea/hypersistence-utils","https://github.com/vladmihalcea/hypersistence-utils.git","","2656","","","2026-06-08T00:00:00Z","Apache-2.0","Data/DB-client","Data/DB-client"
"52","commonmark/commonmark-java","https://github.com/commonmark/commonmark-java","https://github.com/commonmark/commonmark-java.git","","2650","","","2026-06-07T00:00:00Z","BSD-2-Clause","Parser/Format","Parser/Format"
"53","vsch/flexmark-java","https://github.com/vsch/flexmark-java","https://github.com/vsch/flexmark-java.git","","2622","","","2025-04-16T00:00:00Z","BSD-2-Clause","Parser/Format","Parser/Format"
"54","linkedin/rest.li","https://github.com/linkedin/rest.li","https://github.com/linkedin/rest.li.git","","2535","","","2026-06-09T00:00:00Z","NOASSERTION","HTTP/Client","HTTP/Client"
"55","logfellow/logstash-logback-encoder","https://github.com/logfellow/logstash-logback-encoder","https://github.com/logfellow/logstash-logback-encoder.git","","2528","","","2026-04-17T00:00:00Z","Apache-2.0","Logging","Logging"
"56","pac4j/pac4j","https://github.com/pac4j/pac4j","https://github.com/pac4j/pac4j.git","","2518","","","2026-06-10T00:00:00Z","Apache-2.0","Security/Auth","Security/Auth"
"57","confluentinc/schema-registry","https://github.com/confluentinc/schema-registry","https://github.com/confluentinc/schema-registry.git","","2438","","","2026-06-10T00:00:00Z","NOASSERTION","Data/DB-client","Data/DB-client"
"58","flyingsaucerproject/flyingsaucer","https://github.com/flyingsaucerproject/flyingsaucer","https://github.com/flyingsaucerproject/flyingsaucer.git","","2222","","","2026-06-09T00:00:00Z","NOASSERTION","Parser/Format","Parser/Format"
"59","protostuff/protostuff","https://github.com/protostuff/protostuff","https://github.com/protostuff/protostuff.git","","2096","","","2025-04-02T00:00:00Z","Apache-2.0","Serialization","Serialization"
"60","cbeust/jcommander","https://github.com/cbeust/jcommander","https://github.com/cbeust/jcommander.git","","2021","","","2026-04-15T00:00:00Z","Apache-2.0","CLI/Config","CLI/Config"
"61","dromara/forest","https://github.com/dromara/forest","https://github.com/dromara/forest.git","","1939","","","2026-01-26T00:00:00Z","MIT","HTTP/Client","HTTP/Client"
"62","INRIA/spoon","https://github.com/INRIA/spoon","https://github.com/INRIA/spoon.git","","1933","","","2026-06-08T00:00:00Z","NOASSERTION","Codegen/Build","Codegen/Build"
"63","standard-webhooks/standard-webhooks","https://github.com/standard-webhooks/standard-webhooks","https://github.com/standard-webhooks/standard-webhooks.git","","1689","","","2026-05-26T00:00:00Z","Apache-2.0","Security/Auth","Security/Auth"
