Rank,Repo,URL,Stars,License,Last Push,Category,In OSS-Fuzz? (verify),OpenSSF Scorecard (verify),Best Practices badge (verify),Notes
1,zxing/zxing,https://github.com/zxing/zxing,"33,972",Apache-2.0,2026-06-08,Parser/Format,,,,
2,chinabugotech/hutool,https://github.com/chinabugotech/hutool,"30,282",MulanPSL-2.0,2026-06-06,Util/Infra,,,,
3,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,"26,374",Apache-2.0,2026-06-10,Codegen/Build,,,,
4,Netflix/Hystrix,https://github.com/Netflix/Hystrix,"24,455",—,2025-12-17,HTTP/Client,,,,
5,google/gson,https://github.com/google/gson,"24,203",Apache-2.0,2026-06-04,Serialization,,,,
6,alibaba/Sentinel,https://github.com/alibaba/Sentinel,"23,122",Apache-2.0,2026-05-27,Security/Auth,,,,
7,lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,"19,127",Apache-2.0,2026-06-09,Parser/Format,,,,
8,antlr/antlr4,https://github.com/antlr/antlr4,"18,904",BSD-3-Clause,2026-02-16,Parser/Format,,,,
9,dromara/Sa-Token,https://github.com/dromara/Sa-Token,"18,882",Apache-2.0,2026-06-07,Security/Auth,,,,
10,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,"18,367",Apache-2.0,2025-04-02,Util/Infra,,,,
11,ben-manes/caffeine,https://github.com/ben-manes/caffeine,"17,698",Apache-2.0,2026-06-09,Util/Infra,,,,
12,infinilabs/analysis-ik,https://github.com/infinilabs/analysis-ik,"17,460",Apache-2.0,2026-05-11,Template/Text,,,,
13,justauth/JustAuth,https://github.com/justauth/JustAuth,"17,459",MIT,2026-04-16,Security/Auth,,,,
14,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,"17,390",Apache-2.0,2026-06-03,Data/DB-client,,,,
15,languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,"14,563",LGPL-2.1,2026-06-09,Template/Text,,,,
16,GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,"14,406",Apache-2.0,2026-05-19,Codegen/Build,,,,
17,Netflix/zuul,https://github.com/Netflix/zuul,"14,021",Apache-2.0,2026-06-09,HTTP/Client,,,,
18,plantuml/plantuml,https://github.com/plantuml/plantuml,"13,079",NOASSERTION,2026-06-09,Parser/Format,,,,
19,google/guice,https://github.com/google/guice,"12,734",Apache-2.0,2026-05-21,Util/Infra,,,,
20,Netflix/eureka,https://github.com/Netflix/eureka,"12,710",Apache-2.0,2026-03-23,HTTP/Client,,,,
21,pagehelper-org/Mybatis-PageHelper,https://github.com/pagehelper-org/Mybatis-PageHelper,"12,356",MIT,2026-03-28,Data/DB-client,,,,
22,redis/jedis,https://github.com/redis/jedis,"12,330",MIT,2026-06-10,Data/DB-client,,,,
23,langchain4j/langchain4j,https://github.com/langchain4j/langchain4j,"12,270",Apache-2.0,2026-06-09,Util/Infra,,,,
24,apple/pkl,https://github.com/apple/pkl,"11,395",Apache-2.0,2026-06-09,Parser/Format,,,,
25,jhy/jsoup,https://github.com/jhy/jsoup,"11,366",MIT,2026-06-04,Parser/Format,,,,
26,jwtk/jjwt,https://github.com/jwtk/jjwt,"11,078",Apache-2.0,2026-06-10,Security/Auth,,,,
27,stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,"10,083",GPL-3.0,2026-06-03,Template/Text,,,,
28,OpenFeign/feign,https://github.com/OpenFeign/feign,"9,782",Apache-2.0,2026-06-09,HTTP/Client,,,,
