rank,full_name,html_url,clone_url,default_branch,stars,forks,open_issues,pushed_at,license,description
"1","facebook/react","https://github.com/facebook/react","https://github.com/facebook/react.git","main","244837","51002","1265","2026-05-02T08:50:41Z","MIT","The library for web and native user interfaces."
"2","trekhleb/javascript-algorithms","https://github.com/trekhleb/javascript-algorithms","https://github.com/trekhleb/javascript-algorithms.git","master","195926","31089","404","2026-02-18T09:20:06Z","MIT","📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings"
"3","affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code.git","main","173300","26853","153","2026-05-03T04:53:48Z","MIT","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
"4","airbnb/javascript","https://github.com/airbnb/javascript","https://github.com/airbnb/javascript.git","master","148111","26693","159","2026-04-16T19:24:09Z","MIT","JavaScript Style Guide"
"5","vercel/next.js","https://github.com/vercel/next.js","https://github.com/vercel/next.js.git","canary","139274","31013","3871","2026-05-05T01:25:11Z","MIT","The React Framework"
"6","Chalarangelo/30-seconds-of-code","https://github.com/Chalarangelo/30-seconds-of-code","https://github.com/Chalarangelo/30-seconds-of-code.git","master","127690","12479","1","2026-04-21T22:12:54Z","CC-BY-4.0","Coding articles to level up your development skills"
"7","nodejs/node","https://github.com/nodejs/node","https://github.com/nodejs/node.git","main","117033","35486","2655","2026-05-05T01:05:01Z","NOASSERTION","Node.js JavaScript runtime ✨🐢🚀✨"
"8","mrdoob/three.js","https://github.com/mrdoob/three.js","https://github.com/mrdoob/three.js.git","dev","112303","36356","506","2026-05-04T21:04:33Z","MIT","JavaScript 3D Library."
"9","axios/axios","https://github.com/axios/axios","https://github.com/axios/axios.git","v1.x","109038","11661","157","2026-05-04T19:31:03Z","MIT","Promise based HTTP client for the browser and node.js"
"10","facebook/create-react-app","https://github.com/facebook/create-react-app","https://github.com/facebook/create-react-app.git","main","103455","27070","2377","2025-02-15T01:32:11Z","MIT","Set up a modern web app by running one command."
