tool,tool_version,category,cwe,total,vulnerable,tp,fp,fn,tn,tpr,fpr,precision,f1,youden
codeql,2.27.0,cmdi,CWE-78,251,126,126,64,0,61,100.0%,51.2%,66.3%,79.7%,48.8%
codeql,2.27.0,crypto,CWE-327,246,130,130,27,0,89,100.0%,23.3%,82.8%,90.6%,76.7%
codeql,2.27.0,hash,CWE-328,236,129,129,33,0,74,100.0%,30.8%,79.6%,88.7%,69.2%
codeql,2.27.0,ldapi,CWE-90,59,27,27,13,0,19,100.0%,40.6%,67.5%,80.6%,59.4%
codeql,2.27.0,pathtraver,CWE-22,268,133,133,66,0,69,100.0%,48.9%,66.8%,80.1%,51.1%
codeql,2.27.0,securecookie,CWE-614,67,36,36,0,0,31,100.0%,0.0%,100.0%,100.0%,100.0%
codeql,2.27.0,sqli,CWE-89,504,272,272,207,0,25,100.0%,89.2%,56.8%,72.4%,10.8%
codeql,2.27.0,trustbound,CWE-501,126,83,83,24,0,19,100.0%,55.8%,77.6%,87.4%,44.2%
codeql,2.27.0,weakrand,CWE-330,493,218,218,0,0,275,100.0%,0.0%,100.0%,100.0%,100.0%
codeql,2.27.0,xpathi,CWE-643,35,15,15,7,0,13,100.0%,35.0%,68.2%,81.1%,65.0%
codeql,2.27.0,xss,CWE-79,455,246,246,90,0,119,100.0%,43.1%,73.2%,84.5%,56.9%
codeql,2.27.0,TOTAL,,2740,1415,1415,531,0,794,100.0%,40.1%,72.7%,84.2%,59.9%
