tool,tool_version,category,cwe,total,vulnerable,tp,fp,fn,tn,tpr,fpr,precision,f1,youden
semgrep,1.177.0,cmdi,CWE-78,251,126,112,96,14,29,88.9%,76.8%,53.8%,67.1%,12.1%
semgrep,1.177.0,crypto,CWE-327,246,130,130,0,0,116,100.0%,0.0%,100.0%,100.0%,100.0%
semgrep,1.177.0,hash,CWE-328,236,129,89,0,40,107,69.0%,0.0%,100.0%,81.7%,69.0%
semgrep,1.177.0,ldapi,CWE-90,59,27,26,28,1,4,96.3%,87.5%,48.1%,64.2%,8.8%
semgrep,1.177.0,pathtraver,CWE-22,268,133,120,106,13,29,90.2%,78.5%,53.1%,66.9%,11.7%
semgrep,1.177.0,securecookie,CWE-614,67,36,36,0,0,31,100.0%,0.0%,100.0%,100.0%,100.0%
semgrep,1.177.0,sqli,CWE-89,504,272,234,143,38,89,86.0%,61.6%,62.1%,72.1%,24.4%
semgrep,1.177.0,trustbound,CWE-501,126,83,43,18,40,25,51.8%,41.9%,70.5%,59.7%,9.9%
semgrep,1.177.0,weakrand,CWE-330,493,218,218,0,0,275,100.0%,0.0%,100.0%,100.0%,100.0%
semgrep,1.177.0,xpathi,CWE-643,35,15,14,13,1,7,93.3%,65.0%,51.9%,66.7%,28.3%
semgrep,1.177.0,xss,CWE-79,455,246,202,108,44,101,82.1%,51.7%,65.2%,72.7%,30.4%
semgrep,1.177.0,TOTAL,,2740,1415,1224,512,191,813,86.5%,38.6%,70.5%,77.7%,47.9%
